day,time
2016-12-11-16-33-01,0m30.431s
2016-12-11-16-44-02,0m30.099s
2016-12-11-16-55-02,0m30.557s
2016-12-11-17-11-01,0m30.895s
2016-12-11-17-22-01,0m29.874s
2016-12-11-17-33-02,0m28.845s
2016-12-11-17-44-01,0m29.215s
2016-12-11-17-55-01,0m27.269s
2016-12-11-18-11-02,0m28.945s
2016-12-11-18-22-01,0m28.253s
2016-12-11-18-33-02,0m29.342s
2016-12-11-18-44-01,0m29.648s
2016-12-11-18-55-01,0m29.158s
2016-12-11-19-11-01,0m30.365s
2016-12-11-19-22-01,0m30.050s
2016-12-11-19-33-01,0m30.487s
2016-12-11-19-44-01,0m28.307s
2016-12-11-19-55-01,0m28.750s
2016-12-11-20-11-01,0m29.950s
2016-12-11-20-22-01,0m29.574s
2016-12-11-20-33-01,0m30.519s
2016-12-11-20-44-01,0m30.630s
2016-12-11-20-55-01,0m27.505s
2016-12-12-08-11-02,0m30.656s
2016-12-12-08-22-02,0m28.756s
2016-12-12-08-33-02,0m29.021s
2016-12-12-08-44-02,0m27.034s
2016-12-12-08-55-02,0m32.818s
2016-12-12-09-11-01,0m27.873s
2016-12-12-09-22-02,0m31.508s
2016-12-12-09-33-01,0m34.394s
2016-12-12-09-44-01,0m29.480s
2016-12-12-09-55-01,0m28.905s
2016-12-12-10-11-01,0m41.658s
2016-12-12-10-22-01,0m31.946s
2016-12-12-10-33-01,0m33.218s
2016-12-12-10-44-01,0m31.589s
2016-12-12-10-55-01,0m33.161s
2016-12-12-11-11-01,0m37.499s
2016-12-12-11-22-01,0m32.058s
2016-12-12-11-33-01,0m37.801s
2016-12-12-11-44-01,0m30.488s
2016-12-12-11-55-01,0m30.450s
2016-12-12-12-11-01,0m55.111s
2016-12-12-12-22-01,0m27.761s
2016-12-12-12-33-01,0m27.754s
2016-12-12-12-44-01,0m40.983s
2016-12-12-12-55-01,0m41.537s
2016-12-12-13-11-01,0m32.794s
2016-12-12-13-22-01,0m31.718s
2016-12-12-13-33-01,0m30.021s
2016-12-12-13-44-02,0m29.999s
2016-12-12-13-55-01,0m29.170s
2016-12-12-14-11-02,0m32.145s
2016-12-12-14-22-01,0m31.686s
2016-12-12-14-33-01,0m30.404s
2016-12-12-14-44-02,0m28.850s
2016-12-12-14-55-01,0m34.404s
